study_id,study_site,country_iso2,age_group,time,non_wasted_time,mild_time,moderate_time,severe_time,non_to_mild,mild_to_moderate,moderate_to_severe,non_to_moderate,non_to_severe,mild_to_severe,mild_to_non,moderate_to_mild,severe_to_moderate,severe_to_mild,moderate_to_non,severe_to_non,i_non_mild,i_mild_mod,i_mild_severe,i_mod_severe,i_non_mod,i_non_severe,r_mild_non,r_mod_mild,r_severe_mod,r_moderate_non,r_severe_non,r_severe_mild
CMIN,CMIN PE,PE,1 to 5 months,54866,52589,1939,180,158,38,2,1,0,0,1,42,1,1,1,4,1,0.000722585,0.00103146,0.00051573,0.005555556,0,0,0.02166065,0.005555556,0.006329114,0.022222222,0.006329114,0.006329114
CMIN,CMIN PE,PE,6 to 12 months,71881,70432,1323,118,8,25,4,0,0,0,0,25,3,0,1,0,0,0.000354952,0.003023432,0,0,0,0,0.018896447,0.025423729,0,0,0,0.125
CMIN,CMIN PE,PE,1 to 4 years,126858,125255,1475,128,0,25,3,0,1,0,0,26,2,0,0,2,0,0.000199593,0.002033898,0,0,7.98E-06,0,0.017627119,0.015625,NA,0.015625,NA,NA
CMIN,CMIN PE,PE,<27 days,1509,1419,67,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0
CMIN,CMIN BD,BD,1 to 5 months,36450,26272,8100,1489,589,101,24,4,9,2,4,94,19,2,2,8,2,0.003844397,0.002962963,0.000493827,0.002686367,0.00034257,7.61E-05,0.011604938,0.012760242,0.003395586,0.005372733,0.003395586,0.003395586
CMIN,CMIN BD,BD,6 to 12 months,46820,26924,14951,3950,995,138,57,6,5,1,5,91,45,7,0,8,0,0.005125539,0.003812454,0.000334426,0.001518987,0.000185708,3.71E-05,0.006086549,0.011392405,0.007035176,0.002025316,0,0
CMIN,CMIN BD,BD,1 to 4 years,90869,45670,33529,9939,1731,226,108,20,4,4,4,246,114,24,5,5,4,0.004948544,0.003221092,0.0001193,0.002012275,8.76E-05,8.76E-05,0.007336932,0.011469967,0.013864818,0.000503069,0.002310803,0.002888504
CMIN,CMIN BD,BD,<27 days,1351,836,393,98,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMIN,CMIN BR,BR,<27 days,2680,2229,279,146,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMIN,CMIN BR,BR,1 to 5 months,17660,14650,2167,783,60,8,0,0,1,0,0,7,2,0,0,3,1,0.000546075,0,0,0,6.83E-05,0,0.003230272,0.002554278,0,0.003831418,0.016666667,0
CMIN,CMIN BR,BR,6 to 12 months,22019,19665,2064,290,0,11,1,0,0,0,0,15,2,0,0,2,0,0.000559369,0.000484496,0,0,0,0,0.007267442,0.006896552,NA,0.006896552,NA,NA
CMIN,CMIN BR,BR,1 to 4 years,140897,130351,9990,556,0,9,1,0,2,0,0,14,2,0,0,0,0,6.90E-05,0.0001001,0,0,1.53E-05,0,0.001401401,0.003597122,NA,0,NA,NA
CMIN,CMIN BR,BR,5+ years,58,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA
CMIN,CMIN GW,GW,1 to 5 months,65032,57376,5619,1439,598,29,0,2,6,3,0,20,6,1,1,5,2,0.000505438,0,0,0.001389854,0.000104573,5.23E-05,0.003559352,0.004169562,0.001672241,0.003474635,0.003344482,0.001672241
CMIN,CMIN GW,GW,6 to 12 months,152375,118110,25673,6297,2295,258,46,7,32,8,17,159,30,10,11,19,3,0.002184404,0.001791766,0.000662174,0.00111164,0.000270934,6.77E-05,0.006193277,0.004764173,0.004357298,0.00301731,0.00130719,0.004793028
CMIN,CMIN GW,GW,1 to 4 years,510880,399655,88025,18683,4517,346,92,12,32,5,13,414,94,13,17,39,5,0.000865747,0.001045158,0.000147685,0.000642295,8.01E-05,1.25E-05,0.004703209,0.005031312,0.002878016,0.002087459,0.001106929,0.00376356
CMIN,CMIN GW,GW,<27 days,762,622,54,60,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS_COMPFEED,SAS COMPFEED IN,IN,1 to 5 months,1193,849,255,89,0,2,0,0,1,0,0,0,0,0,0,0,0,0.002355713,0,0,0,0.001177856,0,0,0,NA,0,NA,NA
SAS_COMPFEED,SAS COMPFEED IN,IN,6 to 12 months,339985,192843,92666,39271,15205,480,163,41,116,23,52,323,139,46,22,68,14,0.002489071,0.001759005,0.000561155,0.001044027,0.000601526,0.000119268,0.003485637,0.003539508,0.003025321,0.001731558,0.00092075,0.001446892
SAS_COMPFEED,SAS COMPFEED IN,IN,1 to 4 years,258024,146444,76773,27167,7640,300,112,27,45,7,17,320,130,43,25,68,6,0.002048565,0.001458846,0.000221432,0.000993853,0.000307285,4.78E-05,0.004168132,0.004785217,0.005628272,0.002503037,0.00078534,0.003272251
DIVIDS,DIVIDS IN,IN,1 to 5 months,120346,75283,29888,12035,3140,212,102,24,25,2,16,418,152,39,35,131,22,0.002816041,0.003412741,0.000535332,0.001994184,0.00033208,2.66E-05,0.013985546,0.01262983,0.012420382,0.010884919,0.007006369,0.011146497
DIVIDS,DIVIDS IN,IN,6 to 12 months,11938,7045,3786,719,388,33,4,2,3,1,2,23,15,2,1,1,0,0.004684173,0.001056524,0.000528262,0.002781641,0.000425834,0.000141945,0.006075013,0.020862309,0.005154639,0.001390821,0,0.00257732
DIVIDS,DIVIDS IN,IN,1 to 4 years,131015,55182,54011,20798,1024,27,7,1,7,0,0,5,1,0,2,2,0,0.00048929,0.000129603,0,4.81E-05,0.000126853,0,9.26E-05,4.81E-05,0,9.62E-05,0,0.001953125
DIVIDS,DIVIDS IN,IN,<27 days,989,141,391,375,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVIDS,DIVIDS IN,IN,5+ years,1746,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
