sex_id,age_group_id,cat,mortality_hazard,time_unit
1,4,cat1,0.05200803027830947,year
1,4,cat2,0.016679030828663954,year
1,4,cat3,0.00745963256757709,year
1,4,cat4,0.004458570009503782,year
1,5,cat1,0.014162815143546337,year
1,5,cat2,0.004483584869347412,year
1,5,cat3,0.0019870662657512916,year
1,5,cat4,0.001205880642924373,year
2,4,cat1,0.0528659512698777,year
2,4,cat2,0.017371922426683173,year
2,4,cat3,0.007734890120503435,year
2,4,cat4,0.004573415253020019,year
2,5,cat1,0.014684455768074312,year
2,5,cat2,0.004727774066571877,year
2,5,cat3,0.0020886762352352317,year
2,5,cat4,0.0012582472340597617,year
