sex_id,age_group_id,cat,mortality_hazard
1,4,cat1,0.015120280608644787
1,4,cat2,0.005030497638101594
1,4,cat3,0.002222279084018952
1,4,cat4,0.0013249775207438974
1,5,cat1,0.006573149637313369
1,5,cat2,0.002119920808591469
1,5,cat3,0.0009274194045222339
1,5,cat4,0.0005752747517598911
2,4,cat1,0.011324989266701224
2,4,cat2,0.003902435458318587
2,4,cat3,0.001712657817002472
2,4,cat4,0.0010076645843094534
2,5,cat1,0.004717528903218526
2,5,cat2,0.0015587413376035864
2,5,cat3,0.0006773642914967848
2,5,cat4,0.0004193101170133495
3,4,cat1,0.013292352836585364
3,4,cat2,0.004487698338022761
3,4,cat3,0.0019769616197613527
3,4,cat4,0.0011720811778459517
3,5,cat1,0.005670161729654066
3,5,cat2,0.0018465820780048103
3,5,cat3,0.0008056439159334072
3,5,cat4,0.0004993313869411375
