sex_id,age_group_id,cat,mortality_hazard,time_unit
1,4,cat1,0.05058302496775713,year
1,4,cat2,0.016313053641835107,year
1,4,cat3,0.007299418885635012,year
1,4,cat4,0.004365094986418017,year
1,5,cat1,0.013822434473178657,year
1,5,cat2,0.004391539996100424,year
1,5,cat3,0.0019469498612446623,year
1,5,cat4,0.0011822973338576626,year
2,4,cat1,0.042111338386141006,year
2,4,cat2,0.013925466841335554,year
2,4,cat3,0.0061946460946281645,year
2,4,cat4,0.0036590547648021055,year
2,5,cat1,0.011646352662302295,year
2,5,cat2,0.003774485671305672,year
2,5,cat3,0.0016668329398458193,year
2,5,cat4,0.001003606272762969,year
